Country Code;Country Label;City;Location;Coordinates;Pollutant;Value;Unit;Last Updated;Source Name
;;;;37.92509999999999,102.6201;;15.0;;2021-08-09T11:00:00Z;
;;;;40.91444502156321,38.39856425786321;;6.279;;2023-10-11T10:00:00Z;
;;;;58.40878,15.631343;;0.0;;2026-01-19T09:00:00Z;
;;;;34.91263,-80.874283;;6.0;;2026-01-19T08:00:00Z;
;;;;48.8594439994682,2.351111;;15.3;;2018-04-25T00:00:00Z;
;;;;19.9736,110.51109999999998;;9.0;;2021-08-09T11:00:00Z;
;;;;-33.8938889,151.0452778;;5.9;;2022-09-30T04:00:00Z;
;;;;53.755652,16.089278;;19.0036;;2020-12-31T17:00:00Z;
;;;;38.8632,115.49299999999998;;19.0;;2021-08-09T11:00:00Z;
;;;;37.523599999999995,122.0508;;27.0;;2021-08-09T11:00:00Z;
;;;;38.51091,-122.806141;;13.0;;2019-11-21T19:00:00Z;
;;;;38.4418,106.2266;;13.0;;2021-08-09T11:00:00Z;
;;;;41.101315,29.024493;;24.7;;2023-09-23T12:00:00Z;
;;;;51.521451,-0.092771;;3.89;;2020-12-01T00:00:00Z;
;;;;-45.579045667164,-72.049964505825;;14.0;;2026-01-19T06:00:00Z;
;;;;38.94220000000001,100.41539999999999;;11.0;;2021-08-09T11:00:00Z;
;;;;43.668502,-79.760339;;12.8471666653951;;2026-01-19T09:00:00Z;
;;;;35.1044,119.3266;;37.0;;2021-08-09T11:00:00Z;
;;;;-29.970390235273,-71.336038250122;;21.0;;2026-01-19T06:00:00Z;
;;;;48.9477,-122.1471;;53.6;;2026-01-01T18:00:00Z;
;;;;52.053811000085844,20.429891999985866;;36.2;;2026-01-19T06:00:00Z;
;;;;29.8279,106.3787;;15.0;;2021-08-09T11:00:00Z;
;;;;44.3488680301443,26.0336260914258;;9.67868954;;2024-01-29T20:00:00Z;
;;;;46.6937,131.1511;;3.0;;2021-08-09T11:00:00Z;
;;;;25.8417,98.8546;;9.0;;2021-08-09T11:00:00Z;
;;;;29.818100000000005,114.3036;;23.0;;2019-12-27T09:00:00Z;
;;;;34.843899,-82.414597;;3.7;;2026-01-19T08:00:00Z;
;;;;36.186200000337294,-5.380800000355316;;5.2;;2026-01-19T05:00:00Z;
;;;;51.11584199999386,20.891592999817473;;33.5;;2025-12-29T09:00:00Z;
